Date,Name,Year,Letterboxd URI
2021-08-26,First Cow,2019,https://boxd.it/krga
2021-09-17,Titane,2021,https://boxd.it/nlQC
2021-09-17,The Assistant,2019,https://boxd.it/neWo
2021-09-19,Nightcrawler,2014,https://boxd.it/780m
2021-10-03,Minari,2020,https://boxd.it/mL9M
2021-10-07,Dune,2021,https://boxd.it/fA7G
2021-10-07,Holgut,2021,https://boxd.it/uH2S
2021-10-11,Till Death,2021,https://boxd.it/p3VI
2021-11-06,"Synecdoche, New York",2008,https://boxd.it/23zw
2021-11-06,No Time to Die,2021,https://boxd.it/cPX2
2021-11-07,The Hateful Eight,2015,https://boxd.it/8gw8
2021-11-13,Zodiac,2007,https://boxd.it/27MO
2021-11-18,Ladies of the Wood,2021,https://boxd.it/uzLq
2021-11-24,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2021-11-30,The Power of the Dog,2021,https://boxd.it/m99E
2021-12-03,Nostalgia for the Light,2010,https://boxd.it/2nGM
2021-12-07,The Pearl Button,2015,https://boxd.it/amQs
2021-12-18,There Is No Evil,2020,https://boxd.it/oRVQ
2021-12-18,Anthropoid,2016,https://boxd.it/bOr8
2021-12-22,New Order,2020,https://boxd.it/l8cg
2021-12-27,The Worst Person in the World,2021,https://boxd.it/oyws
2021-12-28,Don't Look Up,2021,https://boxd.it/o0Hc
2021-12-31,A Hero,2021,https://boxd.it/p2zw
2022-01-08,Lamb,2021,https://boxd.it/tFwE
2022-01-14,Bad Luck Banging or Loony Porn,2021,https://boxd.it/tJOM
2022-01-21,Memoria,2021,https://boxd.it/iwtE
2022-02-01,Nightmare Alley,2021,https://boxd.it/m0HC
2022-02-03,C'mon C'mon,2021,https://boxd.it/nrI0
2022-02-16,Teddy,2020,https://boxd.it/qEtS
2022-02-17,A World Without Women,2011,https://boxd.it/5gFS
2022-02-21,The General,1926,https://boxd.it/29co
2022-03-12,The Innocents,2021,https://boxd.it/oAlc
2022-04-13,Good Time,2017,https://boxd.it/fcFu
2022-05-18,Hit the Road,2021,https://boxd.it/vBVO
2022-06-13,Crimes of the Future,2022,https://boxd.it/uTuY
2022-06-13,Portrait of a Young Girl at the End of the 60s in Brussels,1994,https://boxd.it/462a
2022-06-13,The Shadow Workers,2021,https://boxd.it/xiuy
2022-09-01,Nope,2022,https://boxd.it/sDCe
2022-09-01,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-09-01,Incredible But True,2022,https://boxd.it/rBtC
2022-09-01,Oldboy,2003,https://boxd.it/29R2
2022-10-20,Nanny,2022,https://boxd.it/vPHQ
2022-10-20,Toute une nuit,1982,https://boxd.it/9oA
2022-10-20,Aloners,2021,https://boxd.it/ujeK
2022-10-20,Triangle of Sadness,2022,https://boxd.it/hXlq
2022-10-20,Moonage Daydream,2022,https://boxd.it/A8Co
2022-10-20,Decision to Leave,2022,https://boxd.it/qp9e
2022-10-20,Licorice Pizza,2021,https://boxd.it/qTKY
2022-10-20,Eyes Wide Shut,1999,https://boxd.it/2axs
2022-10-21,Nelly & Nadine,2022,https://boxd.it/yvis
2022-10-25,R.M.N.,2022,https://boxd.it/yDoe
2022-10-28,Boiling Point,2021,https://boxd.it/uo2u
2022-11-04,Yuku and the Himalayan Flower,2022,https://boxd.it/zK3a
2022-11-04,Holy Spider,2022,https://boxd.it/xBn2
2022-11-06,Raw,2016,https://boxd.it/dLd2
2022-11-13,Rebel,2022,https://boxd.it/wdW6
2022-11-20,Dreaming Walls,2022,https://boxd.it/yvhY
2022-11-24,Cairo Conspiracy,2022,https://boxd.it/tFAQ
2022-11-26,EO,2022,https://boxd.it/txhc
2022-12-23,Bones and All,2022,https://boxd.it/tLd4
2022-12-26,Smoking Causes Coughing,2022,https://boxd.it/wVl4
2023-01-02,Glass Onion,2022,https://boxd.it/oCkK
2023-01-17,The Menu,2022,https://boxd.it/lScm
2023-01-19,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-01-20,Joyland,2022,https://boxd.it/AlzM
2023-01-27,Babylon,2022,https://boxd.it/mM02
2023-02-06,Shoplifters,2018,https://boxd.it/ifY6
2023-02-08,TÁR,2022,https://boxd.it/uNIA
2023-07-18,Oppenheimer,2023,https://boxd.it/wUow
2023-08-24,All the Beauty and the Bloodshed,2022,https://boxd.it/BYjU
2023-08-24,Asteroid City,2023,https://boxd.it/s3ds
2023-08-29,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne
2023-09-30,Anatomy of a Fall,2023,https://boxd.it/yuDE
2023-10-10,Yannick,2023,https://boxd.it/G2es
2023-10-16,Here,2023,https://boxd.it/E2vY
2023-10-23,The Animal Kingdom,2023,https://boxd.it/zzJk
2023-11-01,The Handmaiden,2016,https://boxd.it/948A
2023-11-01,The Other Laurens,2023,https://boxd.it/xAPE
2023-12-09,Omen,2023,https://boxd.it/xAPO
2023-12-14,Vincent Must Die,2023,https://boxd.it/Atvo
2024-01-04,Robot Dreams,2023,https://boxd.it/vBZm
2024-01-07,Wonka,2023,https://boxd.it/tCQm
2024-01-07,She Is Conann,2023,https://boxd.it/raF2
2024-01-16,Sisu,2022,https://boxd.it/vHpu
2024-02-05,Poor Things,2023,https://boxd.it/tNWU
2024-02-15,The Zone of Interest,2023,https://boxd.it/gJsA
2024-02-22,Perfect Day,1929,https://boxd.it/HKK
2024-02-22,Heat,1995,https://boxd.it/2bg8
2024-02-27,Hell or High Water,2016,https://boxd.it/bfGM
2024-03-01,American Fiction,2023,https://boxd.it/DYHm
2024-03-01,Perfect Days,2023,https://boxd.it/ATh8
2024-03-04,La Strada,1954,https://boxd.it/2asi
2024-03-07,Life's a Bitch,2023,https://boxd.it/BoIk
2024-03-14,Kim's Video,2023,https://boxd.it/E34O
2024-03-18,Paprika,2006,https://boxd.it/23wW
2024-03-18,Hundreds of Beavers,2022,https://boxd.it/CyUM
2024-03-22,Property,2022,https://boxd.it/CYsk
2024-03-23,The Killer,2023,https://boxd.it/u6WE
2024-04-23,Civil War,2024,https://boxd.it/z1jW
2024-04-26,Brussels by Night,1983,https://boxd.it/4vf4
2024-04-28,True Stories,1986,https://boxd.it/1wXU
2024-04-30,La Chimera,2023,https://boxd.it/vzVi
2024-05-22,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk
2024-05-23,Apple Cider Vinegar,2024,https://boxd.it/Kk9o
2024-05-29,The Second Act,2024,https://boxd.it/HW9q
